Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
GCA_053309155.1_ASM5330915v1_genomic	4	4	4	3	3	3	5729063	5729063	5729063	5722922	5722922	5722922	4	5315558	5729063	56.82	5315558	5315558	4949932.4	1	1	0.00
GCA_053309175.1_ASM5330917v1_genomic	4	4	4	4	4	4	5820227	5820227	5820227	5820227	5820227	5820227	4	5346852	5820227	56.70	5346852	5346852	4927668.7	1	1	0.00
GCA_053309195.1_ASM5330919v1_genomic	5	5	5	3	3	1	5587846	5587846	5587846	5572757	5572757	5480194	5	5480194	5587846	57.02	5480194	5480194	5375405.0	1	1	0.00
GCA_053309215.1_ASM5330921v1_genomic	3	3	3	3	3	3	5567602	5567602	5567602	5567602	5567602	5567602	3	5289943	5567602	57.12	5289943	5289943	5035159.0	1	1	0.00
GCA_054952405.1_ASM5495240v1_genomic	5	5	4	2	2	2	5653397	5653397	5651602	5638765	5638765	5638765	5	5406169	5653397	57.10	5406169	5406169	5179337.3	1	1	0.00
GCA_054952445.1_ASM5495244v1_genomic	13	12	11	11	6	6	6139223	6138454	6134541	6134541	6044151	6044151	13	5234824	6139223	56.61	5234824	222972	4488342.3	1	3	0.00
GCA_054952645.1_ASM5495264v1_genomic	3	3	3	2	2	2	5499165	5499165	5499165	5493553	5493553	5493553	3	5274932	5499165	57.15	5274932	5274932	5068539.4	1	1	0.00
GCA_055485485.1_ASM5548548v1_genomic	3	3	3	3	3	3	5734350	5734350	5734350	5734350	5734350	5734350	3	5501943	5734350	57.18	5501943	5501943	5283829.8	1	1	0.00
GCA_055485515.1_ASM5548551v1_genomic	3	3	3	3	3	3	5736352	5736352	5736352	5736352	5736352	5736352	3	5503945	5736352	57.18	5503945	5503945	5285826.8	1	1	0.00
GCA_055721525.1_ASM5572152v1_genomic	3	3	3	3	3	2	5642023	5642023	5642023	5642023	5642023	5595863	3	5368493	5642023	57.16	5368493	5368493	5117764.5	1	1	0.09
GCA_055721545.1_ASM5572154v1_genomic	5	5	5	5	5	5	5996752	5996752	5996752	5996752	5996752	5996752	5	5440510	5996752	56.67	5440510	5440510	4952405.9	1	1	0.00
GCA_055721565.1_ASM5572156v1_genomic	4	4	4	4	3	3	5735705	5735705	5735705	5735705	5723805	5723805	4	5316439	5735705	56.81	5316439	5316439	4945851.7	1	1	0.00
GCA_055721585.1_ASM5572158v1_genomic	4	4	4	3	3	3	5817352	5817352	5817352	5807655	5807655	5807655	4	5385444	5817352	56.74	5385444	5385444	5004844.9	1	1	0.00
GCA_055721605.1_ASM5572160v1_genomic	3	3	3	3	2	2	5646488	5646488	5646488	5646488	5636304	5636304	3	5319475	5646488	56.82	5319475	5319475	5029196.7	1	1	0.00
GCA_055721625.1_ASM5572162v1_genomic	3	3	3	3	3	3	5584388	5584388	5584388	5584388	5584388	5584388	3	5357707	5584388	57.18	5357707	5357707	5145673.6	1	1	0.00
GCA_055721645.1_ASM5572164v1_genomic	7	7	7	7	6	6	6047539	6047539	6047539	6047539	6028529	6028529	7	5332862	6047539	56.48	5332862	294305	4724845.4	1	2	0.00
GCA_055721665.1_ASM5572166v1_genomic	3	3	3	3	2	2	5488770	5488770	5488770	5488770	5471928	5471928	3	5397930	5488770	57.21	5397930	5397930	5309642.7	1	1	0.00
GCA_055721685.1_ASM5572168v1_genomic	5	5	5	3	3	1	5588173	5588173	5588173	5573091	5573091	5480530	5	5480530	5588173	57.02	5480530	5480530	5375749.5	1	1	0.00
GCA_055721705.1_ASM5572170v1_genomic	6	6	6	6	6	5	5911022	5911022	5911022	5911022	5911022	5861868	6	5279081	5911022	56.66	5279081	245729	4731897.9	1	2	0.00
GCA_060056565.1_ASM6005656v1_genomic	5	5	4	4	4	4	5801913	5801913	5799855	5799855	5799855	5799855	5	5410872	5801913	56.95	5410872	5410872	5057053.0	1	1	0.00
GCA_060056645.1_ASM6005664v1_genomic	3	3	3	3	3	3	5899191	5899191	5899191	5899191	5899191	5899191	3	5489365	5899191	56.82	5489365	5489365	5130236.7	1	1	0.00
