accession,species,ST,virulence_score,resistance_score,num_resistance_classes,num_resistance_genes,num_plasmids
GCA_055721685.1,Klebsiella pneumoniae,ST101,1,0,10,15,3
GCA_053309195.1,Klebsiella pneumoniae,ST101,1,0,10,15,3
GCA_060056645.1,Klebsiella pneumoniae,ST11,4,2,7,6,2
GCA_060056565.1,Klebsiella pneumoniae,ST11,4,2,9,10,4
GCA_055485515.1,Klebsiella pneumoniae,ST11,1,2,9,12,2
GCA_055485485.1,Klebsiella pneumoniae,ST11,1,1,9,12,2
GCA_055721545.1,Klebsiella pneumoniae,ST14,1,2,11,26,3
GCA_055721705.1,Klebsiella pneumoniae,ST1418,1,3,10,24,4
GCA_055721665.1,Klebsiella pneumoniae,ST147,0,1,3,3,0
GCA_054952445.1,Klebsiella pneumoniae,ST15,1,2,7,15,6
GCA_055721645.1,Klebsiella pneumoniae,ST15,1,2,9,17,6
GCA_055721525.1,Klebsiella pneumoniae,ST16,1,3,11,13,1
GCA_055721565.1,Klebsiella pneumoniae,ST2096,3,2,7,17,3
GCA_055721585.1,Klebsiella pneumoniae,ST2096,4,3,11,19,3
GCA_055721605.1,Klebsiella pneumoniae,ST2096,4,3,11,17,2
GCA_053309155.1,Klebsiella pneumoniae,ST2096,3,2,7,16,3
GCA_054952405.1,Klebsiella pneumoniae,ST23,5,0,0,0,1
GCA_055721625.1,Klebsiella pneumoniae,ST307,0,3,7,7,2
GCA_053309175.1,Klebsiella pneumoniae,ST307,0,3,7,7,3
GCA_054952645.1,Klebsiella pneumoniae,ST420,4,0,0,0,1
GCA_053309215.1,Klebsiella pneumoniae,ST985,1,2,8,12,2
