locus_tag	ftype	length_bp	gene	EC_number	COG	product
KAONMONA_00001	CDS	1545	tssC1_1			Type VI secretion system sheath protein TssC1
KAONMONA_00002	CDS	492	tssB1_1			Type VI secretion system sheath protein TssB1
KAONMONA_00003	CDS	483				hypothetical protein
KAONMONA_00004	CDS	882				hypothetical protein
KAONMONA_00005	CDS	909	cynR_1		COG0583	HTH-type transcriptional regulator CynR
KAONMONA_00006	CDS	459	guaD_1	3.5.4.3	COG0590	Guanine deaminase
KAONMONA_00007	CDS	1197	yycB		COG2807	putative transporter YycB
KAONMONA_00008	CDS	1215	alaC	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
KAONMONA_00009	CDS	1698	ypdA	2.7.13.3	COG3275	Sensor histidine kinase YpdA
KAONMONA_00010	CDS	738	ypdB		COG3279	Transcriptional regulatory protein YpdB
KAONMONA_00011	CDS	966	glk	2.7.1.2	COG0837	Glucokinase
KAONMONA_00012	CDS	1236	yfeO			Putative ion-transport protein YfeO
KAONMONA_00013	CDS	1662	ipdC	4.1.1.74	COG3961	Indole-3-pyruvate decarboxylase
KAONMONA_00014	CDS	993	gpr	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
KAONMONA_00015	CDS	360				hypothetical protein
KAONMONA_00016	CDS	1242	mntH			Divalent metal cation transporter MntH
KAONMONA_00017	CDS	1203	nupC_1		COG1972	Nucleoside permease NupC
KAONMONA_00018	CDS	2214	pdeA	3.1.4.52	COG2199	putative cyclic di-GMP phosphodiesterase PdeA
KAONMONA_00019	tRNA	76				tRNA-Ala(ggc)
KAONMONA_00020	tRNA	76				tRNA-Ala(ggc)
KAONMONA_00021	CDS	354				hypothetical protein
KAONMONA_00022	CDS	393				hypothetical protein
KAONMONA_00023	CDS	1419	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
KAONMONA_00024	tRNA	76				tRNA-Val(tac)
KAONMONA_00025	tRNA	76				tRNA-Val(tac)
KAONMONA_00026	tRNA	76				tRNA-Val(tac)
KAONMONA_00027	tRNA	76				tRNA-Lys(ttt)
KAONMONA_00028	CDS	927	cynR_2		COG0583	HTH-type transcriptional regulator CynR
KAONMONA_00029	CDS	999				hypothetical protein
KAONMONA_00030	CDS	180				hypothetical protein
KAONMONA_00031	CDS	2016	ligA	6.5.1.2	COG0272	DNA ligase
KAONMONA_00032	CDS	1062	zipA		COG3115	Cell division protein ZipA
KAONMONA_00033	CDS	762	cysZ		COG2981	Sulfate transporter CysZ
KAONMONA_00034	CDS	972	cysK	2.5.1.47	COG0031	Cysteine synthase A
KAONMONA_00035	CDS	258	ptsH		COG1925	Phosphocarrier protein HPr
KAONMONA_00036	CDS	1728	ptsI			phosphoenolpyruvate--protein phosphotransferase PtsI
