All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    GCA_053309155.1_ASM5330915v1_genomic  GCA_053309175.1_ASM5330917v1_genomic  GCA_053309195.1_ASM5330919v1_genomic  GCA_053309215.1_ASM5330921v1_genomic  GCA_054952405.1_ASM5495240v1_genomic  GCA_054952445.1_ASM5495244v1_genomic  GCA_054952645.1_ASM5495264v1_genomic  GCA_055485485.1_ASM5548548v1_genomic  GCA_055485515.1_ASM5548551v1_genomic  GCA_055721525.1_ASM5572152v1_genomic  GCA_055721545.1_ASM5572154v1_genomic  GCA_055721565.1_ASM5572156v1_genomic  GCA_055721585.1_ASM5572158v1_genomic  GCA_055721605.1_ASM5572160v1_genomic  GCA_055721625.1_ASM5572162v1_genomic  GCA_055721645.1_ASM5572164v1_genomic  GCA_055721665.1_ASM5572166v1_genomic  GCA_055721685.1_ASM5572168v1_genomic  GCA_055721705.1_ASM5572170v1_genomic  GCA_060056565.1_ASM6005656v1_genomic  GCA_060056645.1_ASM6005664v1_genomic
# contigs (>= 0 bp)         4                                     4                                     5                                     3                                     5                                     13                                    3                                     3                                     3                                     3                                     5                                     4                                     4                                     3                                     3                                     7                                     3                                     5                                     6                                     5                                     3                                   
# contigs (>= 1000 bp)      4                                     4                                     5                                     3                                     5                                     12                                    3                                     3                                     3                                     3                                     5                                     4                                     4                                     3                                     3                                     7                                     3                                     5                                     6                                     5                                     3                                   
# contigs (>= 5000 bp)      4                                     4                                     5                                     3                                     4                                     11                                    3                                     3                                     3                                     3                                     5                                     4                                     4                                     3                                     3                                     7                                     3                                     5                                     6                                     4                                     3                                   
# contigs (>= 10000 bp)     3                                     4                                     3                                     3                                     2                                     11                                    2                                     3                                     3                                     3                                     5                                     4                                     3                                     3                                     3                                     7                                     3                                     3                                     6                                     4                                     3                                   
# contigs (>= 25000 bp)     3                                     4                                     3                                     3                                     2                                     6                                     2                                     3                                     3                                     3                                     5                                     3                                     3                                     2                                     3                                     6                                     2                                     3                                     6                                     4                                     3                                   
# contigs (>= 50000 bp)     3                                     4                                     1                                     3                                     2                                     6                                     2                                     3                                     3                                     2                                     5                                     3                                     3                                     2                                     3                                     6                                     2                                     1                                     5                                     4                                     3                                   
Total length (>= 0 bp)      5729063                               5820227                               5587846                               5567602                               5653397                               6139223                               5499165                               5734350                               5736352                               5642023                               5996752                               5735705                               5817352                               5646488                               5584388                               6047539                               5488770                               5588173                               5911022                               5801913                               5899191                             
Total length (>= 1000 bp)   5729063                               5820227                               5587846                               5567602                               5653397                               6138454                               5499165                               5734350                               5736352                               5642023                               5996752                               5735705                               5817352                               5646488                               5584388                               6047539                               5488770                               5588173                               5911022                               5801913                               5899191                             
Total length (>= 5000 bp)   5729063                               5820227                               5587846                               5567602                               5651602                               6134541                               5499165                               5734350                               5736352                               5642023                               5996752                               5735705                               5817352                               5646488                               5584388                               6047539                               5488770                               5588173                               5911022                               5799855                               5899191                             
Total length (>= 10000 bp)  5722922                               5820227                               5572757                               5567602                               5638765                               6134541                               5493553                               5734350                               5736352                               5642023                               5996752                               5735705                               5807655                               5646488                               5584388                               6047539                               5488770                               5573091                               5911022                               5799855                               5899191                             
Total length (>= 25000 bp)  5722922                               5820227                               5572757                               5567602                               5638765                               6044151                               5493553                               5734350                               5736352                               5642023                               5996752                               5723805                               5807655                               5636304                               5584388                               6028529                               5471928                               5573091                               5911022                               5799855                               5899191                             
Total length (>= 50000 bp)  5722922                               5820227                               5480194                               5567602                               5638765                               6044151                               5493553                               5734350                               5736352                               5595863                               5996752                               5723805                               5807655                               5636304                               5584388                               6028529                               5471928                               5480530                               5861868                               5799855                               5899191                             
# contigs                   4                                     4                                     5                                     3                                     5                                     13                                    3                                     3                                     3                                     3                                     5                                     4                                     4                                     3                                     3                                     7                                     3                                     5                                     6                                     5                                     3                                   
Largest contig              5315558                               5346852                               5480194                               5289943                               5406169                               5234824                               5274932                               5501943                               5503945                               5368493                               5440510                               5316439                               5385444                               5319475                               5357707                               5332862                               5397930                               5480530                               5279081                               5410872                               5489365                             
Total length                5729063                               5820227                               5587846                               5567602                               5653397                               6139223                               5499165                               5734350                               5736352                               5642023                               5996752                               5735705                               5817352                               5646488                               5584388                               6047539                               5488770                               5588173                               5911022                               5801913                               5899191                             
GC (%)                      56.82                                 56.70                                 57.02                                 57.12                                 57.10                                 56.61                                 57.15                                 57.18                                 57.18                                 57.16                                 56.67                                 56.81                                 56.74                                 56.82                                 57.18                                 56.48                                 57.21                                 57.02                                 56.66                                 56.95                                 56.82                               
N50                         5315558                               5346852                               5480194                               5289943                               5406169                               5234824                               5274932                               5501943                               5503945                               5368493                               5440510                               5316439                               5385444                               5319475                               5357707                               5332862                               5397930                               5480530                               5279081                               5410872                               5489365                             
N90                         5315558                               5346852                               5480194                               5289943                               5406169                               222972                                5274932                               5501943                               5503945                               5368493                               5440510                               5316439                               5385444                               5319475                               5357707                               294305                                5397930                               5480530                               245729                                5410872                               5489365                             
auN                         4949932.4                             4927668.7                             5375405.0                             5035159.0                             5179337.3                             4488342.3                             5068539.4                             5283829.8                             5285826.8                             5117764.5                             4952405.9                             4945851.7                             5004844.9                             5029196.7                             5145673.6                             4724845.4                             5309642.7                             5375749.5                             4731897.9                             5057053.0                             5130236.7                           
L50                         1                                     1                                     1                                     1                                     1                                     1                                     1                                     1                                     1                                     1                                     1                                     1                                     1                                     1                                     1                                     1                                     1                                     1                                     1                                     1                                     1                                   
L90                         1                                     1                                     1                                     1                                     1                                     3                                     1                                     1                                     1                                     1                                     1                                     1                                     1                                     1                                     1                                     2                                     1                                     1                                     2                                     1                                     1                                   
# N's per 100 kbp           0.00                                  0.00                                  0.00                                  0.00                                  0.00                                  0.00                                  0.00                                  0.00                                  0.00                                  0.09                                  0.00                                  0.00                                  0.00                                  0.00                                  0.00                                  0.00                                  0.00                                  0.00                                  0.00                                  0.00                                  0.00                                
