qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
CP017721_00179|rep_cluster_2183	JBVQRR010000002.1 Klebsiella pneumoniae strain KK66 plasmid pKK66_1, whole genome shotgun sequence	864	227370	37	864	70025	70852	830	143	82.289	96.0	96.0	minus	0.0	715	replicon
000128__CP023916|IncFII	JBVQRR010000002.1 Klebsiella pneumoniae strain KK66 plasmid pKK66_1, whole genome shotgun sequence	234	227370	1	234	70887	71120	234	0	100.0	100.0	100.0	plus	4.6e-122	433	replicon
000107__CP014778_00094|IncFIB	JBVQRR010000002.1 Klebsiella pneumoniae strain KK66 plasmid pKK66_1, whole genome shotgun sequence	1011	227370	1	1011	178562	179572	1011	99	90.208	100.0	100.0	plus	0.0	1319	replicon
000221__NC_025130_00012|IncX3	JBVQRR010000003.1 Klebsiella pneumoniae strain KK66 plasmid pKK66_2, whole genome shotgun sequence	873	46160	1	873	20609	21481	873	0	100.0	100.0	100.0	plus	0.0	1613	replicon
NC_021231_00058|MOBF	JBVQRR010000002.1 Klebsiella pneumoniae strain KK66 plasmid pKK66_1, whole genome shotgun sequence	1753	227370	1	1753	89853	95108	1753	70	95.95	100.0	100.0	minus	0.0	3296	relaxase
CP035180_00077|MOBF	JBVQRR010000002.1 Klebsiella pneumoniae strain KK66 plasmid pKK66_1, whole genome shotgun sequence	687	227370	1	251	95120	95872	251	19	92.43	37.0	100.0	minus	0.0	385	relaxase
NC_020552_00059|MOBP	JBVQRR010000003.1 Klebsiella pneumoniae strain KK66 plasmid pKK66_2, whole genome shotgun sequence	386	46160	1	386	14213	15370	386	0	100.0	100.0	100.0	minus	0.0	757	relaxase
NC_013284_00016|MPF_T	CM146767.1 Klebsiella pneumoniae strain KK66 chromosome, complete sequence, whole genome shotgun sequence	914	5368493	1	914	249989	252724	914	81	90.919	100.0	100.0	plus	0.0	1727	mate-pair-formation
NC_010726_00011|MPF_T	CM146767.1 Klebsiella pneumoniae strain KK66 chromosome, complete sequence, whole genome shotgun sequence	358	5368493	5	358	253715	254776	354	46	87.006	99.0	99.0	plus	2.72e-174	535	mate-pair-formation
NC_005814_00013|MPF_T	CM146767.1 Klebsiella pneumoniae strain KK66 chromosome, complete sequence, whole genome shotgun sequence	227	5368493	1	227	255001	255681	227	3	98.678	100.0	100.0	plus	1.77e-132	409	mate-pair-formation
