Gene,Non-unique Gene name,Annotation,GCA_053309155.1,GCA_053309175.1,GCA_053309195.1,GCA_053309215.1,GCA_054952405.1,GCA_054952445.1,GCA_054952645.1,GCA_055485485.1,GCA_055485515.1,GCA_055721525.1,GCA_055721545.1,GCA_055721565.1,GCA_055721585.1,GCA_055721605.1,GCA_055721625.1,GCA_055721645.1,GCA_055721665.1,GCA_055721685.1,GCA_055721705.1,GCA_060056565.1,GCA_060056645.1
group_4844,,hypothetical protein,PGEOLOLO_01986,MKEIHBDH_01040,AEDCGGIJ_02169,FPEEIIMM_02206,DEGACDFD_02097,MHALECEH_04044,OGHMHICF_03447,JLBILKMH_02884,MCHNEBJF_02886,HOLFJHIJ_04277,ALMEEEHM_02008,BFKKNDMN_03506,BOEGCKIF_04071,AONLONOO_01687,KAONMONA_03708,JBBCKIFO_00920,PCAPKKMB_02233,PJHHOHPP_04202,EGDJDACD_03809,DOCONFGL_04201,PNJFOIHC_02291
group_4791,,hypothetical protein,PGEOLOLO_01987,MKEIHBDH_01039,AEDCGGIJ_02170,FPEEIIMM_02207,DEGACDFD_02098,MHALECEH_04045,OGHMHICF_03448,JLBILKMH_02882;JLBILKMH_02883,MCHNEBJF_02885;MCHNEBJF_02884,HOLFJHIJ_04278,ALMEEEHM_02009,BFKKNDMN_03505,BOEGCKIF_04072,AONLONOO_01686,KAONMONA_03709,JBBCKIFO_00919,PCAPKKMB_02234,PJHHOHPP_04203,EGDJDACD_03808,DOCONFGL_04199;DOCONFGL_04200,PNJFOIHC_02293;PNJFOIHC_02292
wza~~~wza_1~~~wza_2,wza;wza_1;wza_2,Putative polysaccharide export protein Wza,PGEOLOLO_03194,MKEIHBDH_05022,AEDCGGIJ_03398,FPEEIIMM_03359,DEGACDFD_03336,MHALECEH_00107,OGHMHICF_04614,JLBILKMH_01734,MCHNEBJF_01734,HOLFJHIJ_00321;HOLFJHIJ_00322,ALMEEEHM_01405,BFKKNDMN_02294,BOEGCKIF_00242,AONLONOO_00492,KAONMONA_04820,JBBCKIFO_04743,PCAPKKMB_03398,PJHHOHPP_00172,EGDJDACD_02607,DOCONFGL_03061,PNJFOIHC_03462
group_4752,,hypothetical protein,PGEOLOLO_03195,MKEIHBDH_05021,AEDCGGIJ_03399,FPEEIIMM_03361;FPEEIIMM_03360,DEGACDFD_03338;DEGACDFD_03337;DEGACDFD_03339,MHALECEH_00108,OGHMHICF_04615,JLBILKMH_01733,MCHNEBJF_01733,HOLFJHIJ_00323,ALMEEEHM_01404,BFKKNDMN_02293,BOEGCKIF_00243,AONLONOO_00491,KAONMONA_04821,JBBCKIFO_04742,PCAPKKMB_03399,PJHHOHPP_00173,EGDJDACD_02606;EGDJDACD_02605,DOCONFGL_03060,PNJFOIHC_03463
lhpD_1~~~lhpD_2~~~lhpD,lhpD_1;lhpD_2;lhpD,Delta(1)-pyrroline-2-carboxylate/Delta(1)-piperideine-2-carboxylate reductase,PGEOLOLO_00518,MKEIHBDH_02630,AEDCGGIJ_00601,FPEEIIMM_00657,DEGACDFD_00566,MHALECEH_02464,OGHMHICF_01900,JLBILKMH_04616,MCHNEBJF_04621,HOLFJHIJ_02614,ALMEEEHM_04186,BFKKNDMN_04969,BOEGCKIF_02597,AONLONOO_03156,KAONMONA_02116,JBBCKIFO_02430,PCAPKKMB_00681,PJHHOHPP_02631;PJHHOHPP_02632,EGDJDACD_00277,DOCONFGL_00603,PNJFOIHC_00675
group_4712,,hypothetical protein,PGEOLOLO_01885,MKEIHBDH_01145,AEDCGGIJ_02071,FPEEIIMM_02123,DEGACDFD_01984,MHALECEH_03936,OGHMHICF_03275,JLBILKMH_03070,MCHNEBJF_03073,HOLFJHIJ_04084,ALMEEEHM_02809,BFKKNDMN_03607,BOEGCKIF_03970,AONLONOO_01788,KAONMONA_03606,JBBCKIFO_01024,PCAPKKMB_02078;PCAPKKMB_02079,PJHHOHPP_04102,EGDJDACD_03907,DOCONFGL_04384,PNJFOIHC_02101
cysA_1~~~ssuB_2,cysA_1;ssuB_2,Sulfate/thiosulfate import ATP-binding protein CysA;Aliphatic sulfonates import ATP-binding protein SsuB,PGEOLOLO_02385,MKEIHBDH_00650,AEDCGGIJ_02546,FPEEIIMM_02593,DEGACDFD_02484,MHALECEH_04522,OGHMHICF_03851,JLBILKMH_02484,MCHNEBJF_02484,HOLFJHIJ_04681,ALMEEEHM_02407,BFKKNDMN_03107,BOEGCKIF_04473,AONLONOO_01287,KAONMONA_04103,JBBCKIFO_00511,PCAPKKMB_02630,PJHHOHPP_04582,EGDJDACD_03386,DOCONFGL_03799,PNJFOIHC_02697
group_4692,,hypothetical protein,PGEOLOLO_00736,MKEIHBDH_02402,AEDCGGIJ_00817,FPEEIIMM_00885,DEGACDFD_00786,MHALECEH_02684,OGHMHICF_02138,JLBILKMH_04381,MCHNEBJF_04386,HOLFJHIJ_02843,ALMEEEHM_03966,BFKKNDMN_04751,BOEGCKIF_02815,AONLONOO_02935,KAONMONA_02344,JBBCKIFO_02208,PCAPKKMB_00913,PJHHOHPP_02848,EGDJDACD_00057,DOCONFGL_00368,PNJFOIHC_00910
syrM1,syrM1,HTH-type transcriptional regulator SyrM 1,PGEOLOLO_00482,MKEIHBDH_02673,AEDCGGIJ_00563,FPEEIIMM_00616,DEGACDFD_00530,MHALECEH_02423,OGHMHICF_01863,JLBILKMH_04654,MCHNEBJF_04659,HOLFJHIJ_02571,ALMEEEHM_04224,BFKKNDMN_05005,BOEGCKIF_02561,AONLONOO_03192,KAONMONA_02072,JBBCKIFO_02471,PCAPKKMB_00633,PJHHOHPP_02594,EGDJDACD_00315,DOCONFGL_00640,PNJFOIHC_00638
rsbW,rsbW;,Serine-protein kinase RsbW;hypothetical protein,PGEOLOLO_01968,MKEIHBDH_01065,AEDCGGIJ_02146,FPEEIIMM_02187,DEGACDFD_02073,MHALECEH_04022,OGHMHICF_03425,JLBILKMH_02964,MCHNEBJF_02967,HOLFJHIJ_04207,ALMEEEHM_02726,BFKKNDMN_03524,BOEGCKIF_04053,AONLONOO_01705,KAONMONA_03683,JBBCKIFO_00942,PCAPKKMB_02212,PJHHOHPP_04179,EGDJDACD_03837,DOCONFGL_04284,PNJFOIHC_02207
can_1~~~can_2,can_1;can_2,Carbonic anhydrase 2,PGEOLOLO_00416,MKEIHBDH_02755,AEDCGGIJ_00496,FPEEIIMM_00523,DEGACDFD_00413,MHALECEH_02354,OGHMHICF_01787,JLBILKMH_04715,MCHNEBJF_04720,HOLFJHIJ_02522,ALMEEEHM_04294,BFKKNDMN_00055,BOEGCKIF_02495,AONLONOO_03259,KAONMONA_01993,JBBCKIFO_02534,PCAPKKMB_00528,PJHHOHPP_02526,EGDJDACD_00408,DOCONFGL_00699,PNJFOIHC_00576
rcnR,rcnR,Transcriptional repressor RcnR,PGEOLOLO_01000,MKEIHBDH_02113,AEDCGGIJ_01090,FPEEIIMM_01154,DEGACDFD_01056,MHALECEH_02974,OGHMHICF_02407,JLBILKMH_04107,MCHNEBJF_04110,HOLFJHIJ_03120,ALMEEEHM_03699,BFKKNDMN_04487,BOEGCKIF_03081,AONLONOO_02669,KAONMONA_02630,JBBCKIFO_01919,PCAPKKMB_01189,PJHHOHPP_03121,EGDJDACD_04816,DOCONFGL_00097,PNJFOIHC_01183
group_4681,,hypothetical protein;putative HTH-type transcriptional regulator,PGEOLOLO_02362,MKEIHBDH_00671,AEDCGGIJ_02523,FPEEIIMM_02569,DEGACDFD_02461,MHALECEH_04546,OGHMHICF_03825,JLBILKMH_02510,MCHNEBJF_02510,HOLFJHIJ_04656,ALMEEEHM_02384,BFKKNDMN_03130,BOEGCKIF_04450,AONLONOO_01310,KAONMONA_04082,JBBCKIFO_00534,PCAPKKMB_02604,PJHHOHPP_04559,EGDJDACD_03408;EGDJDACD_03409,DOCONFGL_03825,PNJFOIHC_02671
group_4678,,hypothetical protein,PGEOLOLO_02194,MKEIHBDH_00833,AEDCGGIJ_02378,FPEEIIMM_02413,DEGACDFD_02304,MHALECEH_04717,OGHMHICF_03657,JLBILKMH_02674,MCHNEBJF_02676,HOLFJHIJ_04491,ALMEEEHM_02216,BFKKNDMN_03298,BOEGCKIF_04281,AONLONOO_01478,KAONMONA_03917,JBBCKIFO_00707,PCAPKKMB_02454,PJHHOHPP_04414,EGDJDACD_03600,DOCONFGL_03993,PNJFOIHC_02503
group_4677,,hypothetical protein,PGEOLOLO_00448,MKEIHBDH_02718,AEDCGGIJ_00530,FPEEIIMM_00571,DEGACDFD_00497,MHALECEH_02389,OGHMHICF_01829,JLBILKMH_04687,MCHNEBJF_04692,HOLFJHIJ_02538,ALMEEEHM_04258,BFKKNDMN_00023,BOEGCKIF_02527,AONLONOO_03226,KAONMONA_02027,JBBCKIFO_02505,PCAPKKMB_00600,PJHHOHPP_02561,EGDJDACD_00361,DOCONFGL_00673,PNJFOIHC_00605
