sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	circularity_status	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	repetitive_dna_id	repetitive_dna_type	filtering_reason
GCA_054952445.1_ASM5495244v1_genomic.fna	chromosome	-	-	CM143109.1 Klebsiella pneumoniae strain SDS/K-20 chromosome, complete sequence, whole genome shotgun sequence	5234824	0.5727346325301481	8dcd6374b41a4177c11609fa461f44f0	not tested	-	-	-	-	MPF_T,MPF_T,MPF_T,MPF_T	NC_013284_00016,NC_010726_00011,NC_005814_00013,NC_010726_00014	-	-	-	-	-	-	-	-	-
GCA_054952445.1_ASM5495244v1_genomic.fna	chromosome	-	-	JBUCRP010000001.1 Klebsiella pneumoniae strain SDS/K-20 contig_1, whole genome shotgun sequence	23498	0.5521320963486254	26486772881188072fffcdd4aa85b203	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCA_054952445.1_ASM5495244v1_genomic.fna	plasmid	AA275	AI074	JBUCRP010000002.1 Klebsiella pneumoniae strain SDS/K-20 plasmid p3k-20 contig_13, whole genome shotgun sequence	222972	0.5271783004144018	5c09e8d5747dd13a093db3fb932ef022	not tested	IncFIB,IncFII,IncQ1,rep_cluster_2183	000107__CP014778_00094,000132__HG969996,000195__NC_013728_00014,CP017721_00179	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F,MPF_F,MPF_F,MPF_F,MPF_F,MPF_F,MPF_F,MPF_F,MPF_F,MPF_F,MPF_T,MPF_T	NC_019155_00032,NC_019165_00034,NC_021654_00016,NC_019389_00080,NC_022609_00081,NC_014312_00128,NC_021231_00085,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	-	CP021710	0.00877107	Klebsiella pneumoniae	-	-	-
GCA_054952445.1_ASM5495244v1_genomic.fna	plasmid	AA275	AI074	JBUCRP010000003.1 Klebsiella pneumoniae strain SDS/K-20 contig_15, whole genome shotgun sequence	3913	0.4911832353692819	d569dfbf9181ef179406bac72545fc0d	not tested	-	-	-	-	-	-	-	-	-	CP021710	0.00877107	Klebsiella pneumoniae	-	-	-
GCA_054952445.1_ASM5495244v1_genomic.fna	plasmid	AB531	AK350	JBUCRP010000004.1 Klebsiella pneumoniae strain SDS/K-20 contig_17, whole genome shotgun sequence	90882	0.5142162364384587	d7a0dd10e98bdede4cf506dc8eca55a9	not tested	rep_cluster_1	000232__CP012429	-	-	-	-	-	-	-	CP027046	0.013112	Klebsiella pneumoniae	-	-	-
GCA_054952445.1_ASM5495244v1_genomic.fna	plasmid	AA860	AJ272	JBUCRP010000005.1 Klebsiella pneumoniae strain SDS/K-20 plasmid p2k-20 contig_18, whole genome shotgun sequence	137588	0.5194348344332355	256e0f3bdff0340682d6697cf933a7d9	not tested	IncC	000092__CP025470	MOBH,MOBH	NC_012885_00072,NC_012690_00071	MPF_F,MPF_F,MPF_F,MPF_F,MPF_F,MPF_F,MPF_F,MPF_T	NC_012885_00167,NC_009140_00071,NC_014170_00023,NC_012885_00083,NC_016974_00085,NC_012885_00091,NC_023291_00077,NC_012885_00088	MOBH	HG428760	-	CP015835	9.55247e-05	Escherichia coli	-	-	-
GCA_054952445.1_ASM5495244v1_genomic.fna	plasmid	AA275	AI074	JBUCRP010000006.1 Klebsiella pneumoniae strain SDS/K-20 contig_19, whole genome shotgun sequence	14008	0.4486721873215306	5857c78c20db1e7fa525c5c432d6645f	not tested	-	-	-	-	-	-	-	-	-	CP021710	0.00877107	Klebsiella pneumoniae	-	-	-
GCA_054952445.1_ASM5495244v1_genomic.fna	plasmid	AC125	AL184	JBUCRP010000008.1 Klebsiella pneumoniae strain SDS/K-20 plasmid p4k-20 contig_20, whole genome shotgun sequence	112468	0.4917220898388875	044950b244e19124dee32a8aa0acc94f	not tested	IncFIB	000100__NZ_CP016161_00012	-	-	-	-	-	-	-	CP022128	0.000167546	Klebsiella pneumoniae	-	-	-
GCA_054952445.1_ASM5495244v1_genomic.fna	plasmid	AA944	AJ427	JBUCRP010000009.1 Klebsiella pneumoniae strain SDS/K-20 plasmid p1k-20 contig_21, whole genome shotgun sequence	16881	0.5146022155085599	095253ab37d5ccca92dcfebe46351ac4	not tested	ColRNAI_rep_cluster_1857	000003__NC_002119_00001	MOBC	NC_009793_00003	-	-	-	-	-	CP035911	0.000143503	Klebsiella pneumoniae	-	-	-
GCA_054952445.1_ASM5495244v1_genomic.fna	chromosome	-	-	JBUCRP010000010.1 Klebsiella pneumoniae strain SDS/K-20 contig_3, whole genome shotgun sequence	245417	0.5653194358988987	0dec11042a272baea341f1d6d5bf5832	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCA_054952445.1_ASM5495244v1_genomic.fna	chromosome	-	-	JBUCRP010000011.1 Klebsiella pneumoniae strain SDS/K-20 contig_5, whole genome shotgun sequence	12102	0.3564700049578582	6ea09359b902f17c3f9708a059007aea	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCA_054952445.1_ASM5495244v1_genomic.fna	chromosome	-	-	JBUCRP010000012.1 Klebsiella pneumoniae strain SDS/K-20 contig_7, whole genome shotgun sequence	769	0.5253576072821846	94e75895ee5cc1b7c4959e9ff7057fc5	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCA_054952445.1_ASM5495244v1_genomic.fna	plasmid	AA338	-	JBUCRP010000013.1 Klebsiella pneumoniae strain SDS/K-20 contig_9, whole genome shotgun sequence	23901	0.5311911635496422	c8ec75b2e9192601363085b72656cc62	not tested	-	-	-	-	-	-	-	-	-	LS992188	0.0387085	Escherichia coli	-	-	-
