LABELS
SEPARATOR TAB
DATA
GCA_055721685.1	ST101_KK33
GCA_053309195.1	ST101_KP2
GCA_060056645.1	ST11_C2155
GCA_060056565.1	ST11_C8092
GCA_055485515.1	ST11_ST11-16-116
GCA_055485485.1	ST11_ST11-22-90
GCA_055721545.1	ST14_KK55
GCA_055721705.1	ST1418_KK22
GCA_055721665.1	ST147_KK35
GCA_054952445.1	ST15_SDS-K20
GCA_055721645.1	ST15_KK45
GCA_055721525.1	ST16_KK66
GCA_055721565.1	ST2096_KK54
GCA_055721585.1	ST2096_KK53
GCA_055721605.1	ST2096_KK50
GCA_053309155.1	ST2096_KP4
GCA_054952405.1	ST23_SDS-K9
GCA_055721625.1	ST307_KK47
GCA_053309175.1	ST307_KP3
GCA_054952645.1	ST420_SDS-K5
GCA_053309215.1	ST985_KP1
